name,category,ingredients
Sputnik,Vodka,"Vodka, Peach schnapps, Fresh orange juice, half-and-half"
St. Patrick's Day Cocktail,Cocktail Classics,"Old Mr. Boston Green Creme de Menthe, Green Chartreuse, Irish Whiskey, Bitters"
Stinger Cocktail,Cocktail Classics,"Old Mr. Boston White Creme de Menthe, Old Mr. Boston Five Star Brandy"
Stockholm 75,Vodka,"Lemon wedge, superfine sugar, Citrus-flavored vodka, Simple Syrup, Fresh lemon juice, Chilled Champagne"
Stone Cocktail,Rum - Daiquiris,"Dry Sherry, Light Rum, Sweet Vermouth"
Stone Wall,Rum - Daiquiris,"thin Peeled fresh ginger, Demerara Syrup, Fresh apple cider, Light Rum"
Stormy Colada,Rum - Daiquiris,"Dark rum, Pineapple Juice"
Strawberry Margarita,Tequila,"Lime wedge, superfine sugar or coarse salt (optional), Fresh strawberries, cut in half, Strawberry schnapps, Blanco tequila, Triple Sec, Fresh Lime Juice, whole strawberry"
Strawberry Sunries,Cocktail Classics,"Strawberry schnapps, Grenadine"
Stupid Cupid,Vodka,"Citrus-flavored vodka, Sloe gin, Simple Syrup, Fresh lemon juice"
Suissesse Cocktail,Cocktail Classics,"Anisette, Egg White"
Sunburn,Cocktail Classics,"Hot Shot Tropical Fruit Liqueur, Grapefruit Juice"
Sunday Confession,Tequila,"Blanco tequila, Limoncello, Fresh lemon juice"
Sunset at Gowanus,Rum - Daiquiris,"Dark rum, Fresh Lime Juice, Maple Syrup, Brandy, Yellow Chartreuse"
Sunshine Cocktail,Cocktail Classics,"Sweet Vermouth, Gin, Bitters"
Suntan,Cocktail Classics,"Hot Shot Tropical Fruit Liqueur, Orange Juice"
Surf Rider,Vodka,"Vodka, Sweet Vermouth, Fresh orange juice, Fresh lemon juice, Grenadine"
Susie Taylor,Rum - Daiquiris,"Light Rum, Fresh Lime Juice"
Sweet Maria,Vodka,"Vodka, Amaretto, half-and-half"
Sweet Patootie Cocktail,Cocktail Classics,"Gin, Triple Sec, Orange Juice"
T.N.T. Cocktail,Cocktail Classics,"Old Thompson Blended Whiskey, Absinthe Substitute"
T.N.T. Cocktail No. 1,Cocktail Classics,"Blended whiskey, Anis"
T.N.T. Cocktail No. 2,Cocktail Classics,Tequila
T.N.T. No. 1,Cocktail Classics,"Old Thompson Blended Whiskey, Absinthe Substitute"
Tabby Cat,Vodka,"Dubonnet Rouge, Orange-flavored vodka, Orange Bitters"
Tahiti Club,Rum - Daiquiris,"Light Rum, Fresh lemon juice, Fresh Lime Juice, Pineapple Juice, Maraschino liqueur"
Tahitian Tea,Cocktail Classics,"Gin, Light Rum, Vodka, Hot Shot Tropical Fruit Liqueur, 7-Up, each Cranberry Juice and orange juice"
Tailspin Cocktail,Cocktail Classics,"Gin, Sweet Vermouth, Green Chartreuse, Orange Bitters"
Tanq-A-Rita,Cocktail Classics,"Tanqueray gin, Margarita Mix, Triple Sec"
Tchoupitolas Street Guzzle,Cocktail Classics,Light Rum
Tea Saronno,Cocktail Classics,"Hot Tea, Amaretto di Saronno, Whipped cream"
Temptation Cocktail,Cocktail Classics,"Blended whiskey, Triple Sec, Anis, Dubonnet"
Tempter Cocktail,Cocktail Classics,"Port, Apricot Flavored Brandy"
Tequila Canyon,Tequila,"Blanco tequila, Triple Sec, Cranberry Juice, Pineapple Juice, Orange juice"
Tequila Cocktail,Cocktail Classics,"Tequila, Juice of a Lemon, Grenadine, Egg White"
Tequila Collins,Tequila,"Blanco tequila, Fresh lemon juice, Simple Syrup"
Tequila Fizz,Cocktail Classics,"Tequila, Grenadine, Lemon Juice, Egg White"
Tequila Manhattan,Tequila,"Blanco tequila, Sweet Vermouth, Angostura Bitters"
Tequila Matador,Tequila,"Blanco tequila, Pineapple Juice, Fresh Lime Juice"
Tequila Mockingbird,Tequila,"Lime wedge, coarse salt, Minced ginger, Blanco tequila, Agave nectar, Fresh Lime Juice"
Tequila Old-Fashioned,Tequila,"Blanco tequila, Simple Syrup, Angostura Bitters, Soda water"
Tequila Pink,Tequila,"Blanco tequila, Dry Vermouth, Grenadine"
Tequila Smash,Tequila,"Blueberries, Bing cherries, Blanco tequila, Maraschino liqueur, Fresh Lime Juice"
Tequila Sour,Tequila,"Blanco tequila, Fresh lemon juice, Simple Syrup"
Tequila Straight,Tequila,"Coarse salt, Blanco tequila, Lime wedge"
Tequila Sunrise,Tequila,"Blanco tequila, Orange juice, Grenadine"
Tequini,Tequila,"Blanco tequila, Dry Vermouth, Angostura bitters"
Tequini Cocktail,Cocktail Classics,"Old Mr. Boston Tequila, Dry Vermouth, Bitters"
Tequonic,Tequila,"Blanco tequila, Fresh lemon or lime juice"
Thanksgiving Special Cocktail,Cocktail Classics,"Old Mr. Boston Apricot Flavored Brandy, Old Mr. Boston Dry Gin, Dry Vermouth, Lemon Juice"
The 21st Century,Tequila,"Absinthe, Absinthe, Blanco tequila, Fresh Lime Juice, White creme de cacao"
The Beautiful Day,Whiskies,"Irish Whiskey, Rhubarb Syrup, Cold brewed green tea"
The Big Crush,Vodka,"Raspberry-flavored vodka, Triple Sec, Raspberry-flavored liqueur, Fresh Lime Juice"
The Blinker,Whiskies,"Straight rye whisky, Grapefruit Juice, Raspberry Syrup"
The Blood Orange,Vodka,"Orange-flavored vodka, Campari"
The Bone,Whiskies,"Bourbon whiskey, Fresh Lime Juice, Simple Syrup, Hot red pepper sauce"
The Cinquecento,Vodka,"Bison grass vodka (Zubrowka), Benedictine, Campari, Fresh grapefruit juice, Angostura Bitters"
The Crux,Brandy,"Dubonnet, Triple Sec, Brandy, Fresh lemon juice"
The Debonair,Whiskies,"Single-malt Scotch whisky, Ginger liqueur"
The Delmarva Cocktail,Whiskies,"Straight rye whiskey, Dry Vermouth, White creme de menthe, Fresh lemon juice"
The Duboudreau Cocktail,Whiskies,"Straight rye whiskey, Dubonnet Rouge, Fernet-Branca, Elderflower liqueur"
The Final Ward,Whiskies,"Straight rye whiskey, Maraschino liqueur, Green Chartreuse, Fresh lemon juice"
The Groupie,Vodka,"Lemon wedges, Superfine sugar, Citrus-flavored vodka"
The Holy Roller,Rum - Daiquiris,"Cachaca, Fresh Lime Juice, Honey Syrup, Angostura Bitters, Champagne or sparkling wine, mint sprig"
The Interesting Cocktail,Tequila,"Blanco tequila, Aperol, Dark creme de cacao, Fresh lemon juice, Grapefruit twist"
The Jamaican Ten Speed,Vodka,"Vodka, Melon liqueur, Creme de banana, Coconut-flavored rum, half-and-half"
The Joe Lewis,Whiskies,"Scotch Whiskey, Fresh carrot juice, Tawny port, Fresh lemon juice, Agave nectar"
The Loop,Vodka,"Black cherry-flavored vodka, White creme de cacao, Chile Syrup"
The Nomad South,Tequila,"Blanco tequila, Orange juice, Blood orange juice, Agave nectar, Fresh Lime Juice, Whiskey barrel bitters"
The Oaxaca Old-Fashioned,Tequila,"Reposado tequila, Mezcal, Agave nectar, Angostura Bitters"
The Old Cuban,Rum - Daiquiris,"mint leaves, Simple Syrup, Fresh Lime Juice, Dark rum, Angostura Bitters, Champagne, chopped fresh mint"
The Poncho,Tequila,"Reposado tequila, Dry Vermouth, Maraschino liqueur, Peychaud's Bitters"
The Refuge,Tequila,"Blanco tequila, Aperol, Fresh Lime Juice, Grapefruit Juice, Agave nectar"
The Sfozando,Tequila,"Mezcal, Rye Whiskey, Dry Vermouth, Benedictine, Chocolate bitters"
The Summer Of Love,Vodka,"Orange-flavored vodka, Rose water, Lillet Blanc, Black raspberry liqueur"
The Titian,Vodka,"Orange-flavored vodka, Grand Marnier, Passion Fruit Juice, Fresh Lime Juice, Pomegranate syrup"
The Vacation Cocktail,Rum - Daiquiris,"Peeled and chopped fresh ginger, Fresh Lime Juice, each Simple Syrup, light rum, dark rum, Mango juice, each Cranberry Juice, orange juice, spiced rum"
The Wink,Gin,"Absinthe, Gin, Triple Sec, Simple Syrup, Peychaud's Bitters"
The Winkle,Gin,"Fresh sage leaves, Gin, Fresh Lime Juice, Limoncello, Simple Syrup, Raspberries, lemon twist"
Third-Rail Cocktail,Rum - Daiquiris,"Light Rum, Apple Brandy, Brandy, Anisette"
Three Miller Cocktail,Rum - Daiquiris,"Fresh cherry tomatoes, Dark rum, Fresh Lime Juice, Simple Syrup, Angostura Bitters"
Three Stripes Cocktail,Cocktail Classics,"Gin, Dry Vermouth, Orange Juice"
Thunder,Cocktail Classics,"Powdered Sugar, Egg Yolk, Brandy, Cayenne Pepper"
Thunder and Lightning Cocktail,Cocktail Classics,"Egg Yolk, Powdered Sugar, Old Mr. Boston Five Star Brandy"
Thunder Cocktail,Cocktail Classics,"Powdered Sugar, Egg Yolk, Old Mr. Boston Five Star Brandy, Cayenne Pepper"
Thunderclap Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Old Thompson Blended Whiskey, Old Mr. Boston Five Star Brandy"
Thyme Collins,Vodka,"Citrus-flavored vodka, Mint syrup, Fresh lemon juice, Thyme sprig, Bitter lemon soda, Long thyme sprigs"
Tia Juanathan,Tequila,"Blanco tequila, Fresh Lime Juice, Aperol, Yellow Chartreuse"
Tiger Tanaka,Vodka,"Fresh cilantro leaves, Slice peeled fresh ginger, Citrus-flavored vodka, Limoncello, Pineapple Juice"
Tijuana Taxi,Tequila,"Gold tequila, Blue curacao, Tropical fruit schnapps"
Toasted Drop,Vodka,"Lemon wedge, Cinnamon Sugar, Citrus-flavored vodka, Limoncello, Amaretto, Fresh lemon juice, Egg White"
Top Banana,Vodka,"Vodka, Creme de banana, Orange juice"
Toreador,Tequila,"Blanco tequila, Dark creme de cacao, half-and-half"
Torridora Cocktail,Rum - Daiquiris,"Light Rum, Coffee-flavored brandy, half-and-half, 151-Proof Rum"
Tovarich Cocktail,Cocktail Classics,"Vodka, Kummel, Juice of a Lime"
Traditional Martini (Dry),Cocktail Classics,"Gin, Dry Vermouth, Orange Bitters"
Trident,Vodka,"Aquavit or vodka, Cynar, Dry Sherry, Peach bitters"
Trinity Cocktail,Cocktail Classics,"Sweet Vermouth, Dry Vermouth, Gin"
Trois Rivieres,Cocktail Classics,"Canadian whisky, Dubonnet, Triple Sec"
Tropica Cocktail,Rum - Daiquiris,"Light Rum, Pineapple Juice, Fresh grapefruit juice, Grenadine"
Tropical Heart,Cocktail Classics,Hot Shot Tropical Fruit Liqueur
Twin Six Cocktail,Cocktail Classics,"Gin, Sweet Vermouth, Grenadine, Orange Juice, Egg White"
Twister,Vodka,"Vodka, Fresh Lime Juice"
Ulanda Cocktail,Cocktail Classics,"Gin, Triple Sec, Anis"
Underneath The Mango Tree,Vodka,"Lime wedge, Sweet Chili Powder, Mango-flavored vodka, Peach liqueur, Fresh Lime Juice, Simple Syrup, Ginger ale"
Union Jack Cocktail,Cocktail Classics,"Sloe gin, Gin, Grenadine"
Urban Anxiety,Rum,"Cachaca, Sweet Vermouth, Cynar, Angostura Bitters"
Vagabundo,Tequila,"Reposado blanco tequila, Pineapple Juice, Fresh celery juice, Fresh Lime Juice"
Van Vleet,Rum - Daiquiris,"Light Rum, Maple Syrup, Fresh lemon juice"
Velvet Hammer No. 1,Cocktail Classics,"Vodka, Creme de Cacao, Light cream"
Velvet Hammer No. 2,Cocktail Classics,"Strega, White creme de cacao, Light cream"
Velvet Peach Hammer,Vodka,"Vodka, Peach schnapps, Simple Syrup, Fresh lemon juice"
Venial Sin,Tequila,"Blanco tequila, Mezcal, Yellow Chartreuse, Elderflower liqueur, Maraschino liqueur"
Verboten,Cocktail Classics,"Gin, Forbidden Fruit, Orange Juice, Lemon Juice"
Vermouth Cassis,Cocktail Classics,"Creme de Cassis, Dry Vermouth"
Vesuvio,Cocktail Classics,"Light Rum, Juice of a Lemon, Powdered Sugar, Egg White, Sweet Vermouth"
Victor Collins,Cocktail Classics,"Old Mr. Boston Vodka, Unsweetened Grape Juice, Lemon Juice, Powdered Sugar"
Victory Collins,Vodka,"Vodka, Unsweetened Grape Juice, Fresh lemon juice, Simple Syrup"
Violet Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Old Mr. Boston Dry Gin, Creme Yvette"
Violet Fizz Juice,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Old Mr. Boston Dry Gin, Creme Yvette"
Virgin,Cocktail Classics,"Gin, White creme de menthe, Forbidden Fruit"
Virginia Dare,Rum - Daiquiris,"Ripe pear, Dark rum, Benedictine, Angostura Bitters"
Viva Villa,Tequila,"Lime wedge, coarse salt, Blanco tequila, Fresh Lime Juice, Simple Syrup"
Vodka and Apple Juice,Vodka,Vodka
Vodka and Tonic,Vodka,Vodka
Vodka Collins,Vodka,"Vodka, Fresh lemon juice, Simple Syrup"
Vodka Cooler,Vodka,"Vodka, Simple Syrup"
Vodka Daisy,Vodka,"Vodka, Fresh lemon juice, Simple Syrup, Grenadine"
Vodka Gimlet,Vodka,"Vodka, Fresh Lime Juice, Simple Syrup"
Vodka Grasshopper,Vodka,"Vodka, Green creme de menthe, White creme de cacao, half-and-half"
Vodka Grasshopper Cocktail,Cocktail Classics,"Old Mr. Boston Vodka, Old Mr. Boston Green Creme de Menthe, Old Mr. Boston White Creme de Cacao"
Vodka Gypsy Cocktail,Cocktail Classics,"Old Mr. Boston Vodka, Benedictine, Angostura Bitters"
Vodka Martini,Cocktail Classics,"Mr. Boston Vodka, Dry Vermouth"
Vodka Sling,Vodka,"Vodka, Fresh lemon juice, Simple Syrup"
Vodka Sour,Vodka,"Vodka, Vodka, Fresh lemon juice, Simple Syrup"
Vodka Stinger,Vodka,"Vodka, White creme de menthe"
Vow Of Silence,Gin,"Gin, Grapefruit Juice, Fresh Lime Juice, Yellow Chartreuse, Amaro, Simple Syrup"
Waikiki Beachcomber,Gin,"Gin, Triple Sec, Pineapple Juice"
Waiting On Summer,Tequila,"Cucumber, Fresh sage leaves, Fresh Lime Juice, Blanco tequila, Simple Syrup, Ginger ale, strawberry slice"
Wallick Cocktail,Gin,"Gin, Dry Vermouth, Triple Sec"
Wallis Blue Cocktail,Gin,"Lime wedge, superfine sugar, Gin, Triple Sec, Fresh Lime Juice"
Warsaw Cocktail,Vodka,"Vodka, Blackberry-flavored brandy, Dry Vermouth, Fresh lemon juice"
Washington Cocktail,Cocktail Classics,"Dry Vermouth, Brandy, Bitters, Sugar Syrup"
Water Lily,Gin,"Gin, Triple Sec, Creme de violette, Fresh lemon juice"
Waterbury Cocktail,Cocktail Classics,"Powdered Sugar, Juice of a Lemon, Egg White, Brandy, Grenadine"
Waterloo,Cocktail Classics,"Light Rum, Orange Juice, Mandarine Napoleon Liqueur"
Webster Cocktail,Cocktail Classics,"Juice of a Lime, Apricot Flavored Brandy, Dry Vermouth, Gin"
Wedding Belle Cocktail,Cocktail Classics,"Orange Juice, cherry-flavored brandy, Gin, Dubonnet"
Weep-No-More Cocktail,Cocktail Classics,"Juice of a Lime, Dubonnet, Brandy, Maraschino"
Wembley Cocktail,Cocktail Classics,"Dry Vermouth, Gin, Apricot-Flavored Brandy, Apple Brandy"
Wembly Cocktail,Gin,"Gin, Dry Vermouth, Apple Brandy, Apricot-Flavored Brandy"
West Side,Vodka,"lemon-flavored vodka, Fresh lemon juice, Simple Syrup, Fresh mint leaves"
Western Rose,Gin,"Gin, Dry Vermouth, Apricot-Flavored Brandy, Fresh lemon juice"
Western Rose Cocktail,Cocktail Classics,"Old Mr. Boston Apricot Flavored Brandy, Old Mr. Boston Dry Gin, Dry Vermouth, Lemon Juice"
What The Hell,Cocktail Classics,"Gin, Dry Vermouth, Apricot Flavored Brandy, Lemon Juice"
Whiskey Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, Blended whiskey, Light Cream (if desired)"
Whiskey Milk Punch,Cocktail Classics,"Powdered Sugar, Blended whiskey"
Whiskey Skin,Cocktail Classics,"lump of sugar, blended whiskey"
Whiskey Toddy (cold),Cocktail Classics,"Powdered Sugar, Water, Blended whiskey"
White Cargo Cocktail,Cocktail Classics,"Vanilla Ice Cream, Mr. Boston Gin"
White Elephant,Cocktail Classics,"Gin, Sweet Vermouth, Egg White"
White Lady,Gin,"Gin, Triple Sec"
White Lady Cocktail,Cocktail Classics,"Egg White, Powdered Sugar, Sweet Cream, Old Mr. Boston Dry Gin"
White Lily Cocktail,Rum - Daiquiris,"Light Rum, Triple Sec, Gin, Anisette"
White Lion Cocktail,Cocktail Classics,"Light Rum, Fresh lemon juice, Simple Syrup, Grenadine, Angostura Bitters"
White Plush,Cocktail Classics,"Blended whiskey, Milk, Powdered Sugar"
White Rose Cocktail,Cocktail Classics,"Gin, Orange Juice, Juice of a Lime, Maraschino, Egg White"
White Russian,Vodka,"Vodka, Coffee liqueur"
White Spider,Gin,"Gin, Fresh lemon juice, Triple Sec, Simple Syrup"
Why Not?,Cocktail Classics,"Gin, Apricot Flavored Brandy, Dry Vermouth, Lemon Juice"
Widow's Dream,Cocktail Classics,"Benedictine, Whole Egg"
Widow's Dream Cocktail,Cocktail Classics,"Benedictine, Whole Egg"
Widow's Kiss Cocktail,Cocktail Classics,"Old Mr. Boston Five Star Brandy, Yellow Chartreuse, Benedictine, Peychaud Bitters"
Wiki Waki Woo,Rum - Daiquiris,"Light Rum, 151-Proof Rum, each Vodka, tequila blanco, triple sec, Amaretto, each Fresh orange juice, pineapple juice, cranberry juice"
Will Rogers,Gin,"Gin, Dry Vermouth, Orange juice, Triple Sec"
Wolf's Bite,Gin,"Gin, Grapefruit Juice, Green Chartreuse"
Woodstock,Gin,"Gin, Fresh lemon juice, Maple Syrup, Orange Bitters"
X. Y. Z. Cocktail,Cocktail Classics,"Lemon Juice, Old Mr. Boston Triple Sec, Old Mr. Boston Rum"
X.Y.Z. Cocktail,Rum - Daiquiris,"Light Rum, Triple Sec, Fresh lemon juice"
Xanthia Cocktail,Gin,"Gin, cherry-flavored brandy, Yellow Chartreuse"
Yale Cocktail,Gin,"Gin, Dry Vermouth, Blue curacao, Angostura Bitters"
Yellow Rattler,Cocktail Classics,"Gin, Orange Juice, Dry Vermouth, Sweet Vermouth"
Yellow Rose Of Texas,Tequila,"Blanco tequila, Fresh lemon juice, Simple Syrup, Yellow Chartreuse, Rose water"
Yellowjacket,Non-alcoholic Drinks,"Pineapple Juice, Orange Juice, Lemon Juice"
Yokahama Romance,Gin,"Sake, Gin, Maraschino liqueur, Unsprayed rose petal"
Yolanda,Cocktail Classics,"Brandy, Gin, Anisette, Sweet Vermouth, Grenadine"
Zaza Cocktail,Cocktail Classics,"Gin, Dubonnet"
Zero Mint,Cocktail Classics,Mr. Boston Creme de menthe
Zombie,Rum - Daiquiris,"Gold rum, 151-Proof Rum, Light Rum, each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup, Demerara Syrup, Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig"
